INSERT INTO game_role (id,roleImageId,roleName,game_group_id,starGrade,beginGrade,blood,attract,defense,crit,dodge,roleDescription)
SELECT 1,'sx001','玉皇大帝',1,10.0,1.0,11392.0,759.0,189.0,0.2,0.167,'天界的老大，统领三界神灵和宇宙万物的吃喝拉撒。'UNION ALL
SELECT 2,'sx001_2','玉皇大帝',1,8.0,1.0,1821.0,121.0,30.0,0.16,0.138,'天界的老大，统领三界神灵和宇宙万物的吃喝拉撒。'UNION ALL
SELECT 3,'sx001_3','玉皇大帝',1,6.0,1.0,417.0,27.0,6.0,0.12,0.107,'天界的老大，统领三界神灵和宇宙万物的吃喝拉撒。'UNION ALL
SELECT 4,'sx002','王母娘娘',1,8.0,1.0,1274.0,151.0,15.0,0.16,0.324,'玉皇大帝的夫人，酷爱吃蟠桃，有一座私人蟠桃园。'UNION ALL
SELECT 5,'sx002_2','王母娘娘',1,6.0,1.0,292.0,34.0,3.0,0.12,0.265,'玉皇大帝的夫人，酷爱吃蟠桃，有一座私人蟠桃园。'UNION ALL
SELECT 6,'sx002_3','王母娘娘',1,5.0,1.0,162.0,19.0,1.0,0.1,0.231,'玉皇大帝的夫人，酷爱吃蟠桃，有一座私人蟠桃园。'UNION ALL
SELECT 7,'sx003','真武大帝',1,8.0,1.0,1183.0,182.0,22.0,0.16,0.138,'太上老君第82次变化之身，民间简称真武帝君，传说原来的职业是个屠夫。'UNION ALL
SELECT 8,'sx003_2','真武大帝',1,6.0,1.0,271.0,41.0,5.0,0.12,0.107,'太上老君第82次变化之身，民间简称真武帝君，传说原来的职业是个屠夫。'UNION ALL
SELECT 9,'sx003_3','真武大帝',1,5.0,1.0,150.0,23.0,2.0,0.1,0.091,'太上老君第82次变化之身，民间简称真武帝君，传说原来的职业是个屠夫。'UNION ALL
SELECT 10,'sx004','救苦天尊',1,6.0,1.0,334.0,29.0,12.0,0.12,0.107,'又称太乙天尊，头上环绕九色神光，放射万丈光芒，一看就是高手。'UNION ALL
